pais,Media_Imc,IMC_hombres,Imc_mujeres
Afganistán,21.01,21.36,20.65
Albania,24.53,27.6,21.45
Argelia,23.87,24.38,23.36
Angola,22.73,23.24,22.22
Argentina,26.44,27.76,25.11
Armenia,24.26,25.72,22.8
Australia,26.1,27.24,24.95
Austria,25.0,26.97,23.03
Azerbaiyán,24.65,26.21,23.08
Bahamas,27.09,27.6,26.57
Baréin,26.33,27.97,24.69
Bangladés,20.32,21.0,19.63
Barbados,27.7,26.84,28.55
Bielorrusia,26.72,26.32,27.11
Bélgica,24.15,25.93,22.36
Belice,26.09,26.6,25.58
Benín,22.48,22.52,22.43
Bután,20.37,20.88,19.85
Bolivia,25.86,26.07,25.65
Bosnia y Herzegovina,23.94,26.18,21.69
Botsuana,24.45,24.96,23.94
Brasil,24.79,25.85,23.72
Brunéi,22.67,23.18,22.16
Bulgaria,23.77,26.53,21.01
Burkina Faso,21.25,21.86,20.64
Burundi,20.4,20.91,19.89
Camboya,21.51,22.3,20.72
Camerún,24.7,26.65,22.75
Canadá,25.7,27.04,24.36
Cabo Verde,23.44,23.95,22.93
República Centroafricana,20.99,20.97,21.01
Chad,21.42,22.04,20.8
Chile,26.05,25.94,26.15
China,22.86,23.78,21.93
Colombia,24.94,26.3,23.58
Comoras,22.99,23.39,22.59
Congo,21.91,22.3,21.52
Costa Rica,24.87,26.06,23.68
Costa de Marfil,22.03,21.64,22.42
Croacia,26.61,30.21,23.0
Cuba,25.64,26.78,24.49
Chipre,26.7,27.21,26.18
República Checa,23.78,26.5,21.06
Dinamarca,24.24,25.75,22.73
Yibuti,22.96,23.47,22.44
República dominicana,25.45,25.55,25.34
República Democrática del Congo,20.25,20.76,19.74
Timor Oriental,20.72,21.23,20.2
Ecuador,25.58,26.09,25.06
Egipto,26.7,27.14,26.25
El Salvador,25.8,26.31,25.28
Guinea Ecuatorial,24.75,25.26,24.24
Eritrea,19.85,20.27,19.43
España,24.52,26.47,22.57
Estonia,23.06,25.21,20.9
Etiopía,20.46,20.97,19.94
Fiyi,24.99,25.25,24.72
Finlandia,25.06,26.76,23.36
Francia,23.56,24.9,22.22
Gabón,23.4,23.75,23.05
Gambia,21.73,21.94,21.52
Georgia,25.27,25.78,24.75
Alemania,25.32,27.17,23.46
Ghana,23.15,24.64,21.65
Grecia,26.13,27.68,24.57
Granada,26.43,26.94,25.91
Guatemala,25.88,26.42,25.34
Guinea,22.06,22.41,21.71
Guinea-Bisáu,21.04,21.0,20.53
Guyana,25.1,25.61,24.59
Haití,23.12,22.21,24.03
Honduras,25.12,25.63,24.61
Hungría,24.45,26.5,22.39
Islandia,25.93,26.8,25.06
India,21.05,22.5,19.6
Indonesia,21.59,21.91,21.26
Irán,24.28,25.21,23.35
Irak,24.53,25.04,24.01
Irlanda,24.4,26.14,22.65
Israel,25.05,26.72,23.37
Italia,23.49,25.78,21.19
Jamaica,26.21,24.82,27.6
Japón,21.93,23.52,20.34
Jordania,25.09,26.65,23.52
Kazajistán,22.99,25.02,20.96
Kenia,21.41,21.59,21.23
Kuwait,27.92,28.77,27.07
Kirguistán,22.9,23.99,21.8
Laos,21.99,22.5,21.48
Letonia,23.73,25.38,22.07
Líbano,24.57,26.6,22.54
Lesoto,24.56,22.96,26.16
Liberia,21.0,21.51,20.49
Libia,26.06,26.57,25.55
Lituania,24.29,26.44,22.14
Luxemburgo,25.06,25.6,24.51
Macedonia,23.81,24.25,23.36
Madagascar,21.6,22.31,20.89
Malawi,21.96,22.02,21.9
Malasia,22.58,23.06,22.09
Maldivas,22.21,23.54,20.88
Malí,22.18,22.11,22.24
Malta,26.04,27.91,24.17
Mauritania,23.74,24.17,23.3
Mauricio,24.46,25.05,23.87
México,28.54,29.7,27.37
Micronesia,32.82,32.8,32.84
Moldavia,25.24,25.75,24.73
Mongolia,25.94,24.78,27.1
Marruecos,23.76,23.71,23.8
Mozambique,21.27,21.27,21.27
Myanmar (Birmania),22.4,22.91,21.89
Namibia,22.0,22.01,21.99
Nepal,20.55,20.82,20.27
Países Bajos,24.14,25.72,22.56
Nueva Zelanda,26.61,27.55,25.67
Nicaragua,25.61,25.83,25.38
Níger,21.49,22.27,20.71
Nigeria,22.88,23.98,21.77
Corea del Norte,20.78,21.29,20.27
Noruega,24.69,26.28,23.1
Omán,24.15,25.41,22.89
Pakistán,21.53,21.92,21.14
Panamá,26.16,26.67,25.65
Papúa Nueva Guinea,23.79,23.16,24.41
Paraguay,25.32,25.83,24.81
Perú,25.23,25.87,24.59
Filipinas,22.35,22.73,21.96
Polonia,23.21,25.88,20.54
Portugal,24.59,26.49,22.69
Catar,27.47,27.98,26.96
Rumania,22.98,24.62,21.33
Rusia,23.25,24.8,21.69
Ruanda,21.67,21.15,22.19
Santa Lucía,25.23,24.59,25.86
Samoa,28.34,28.79,27.88
Santo Tomé y Príncipe,21.75,22.26,21.24
Arabia Saudita,26.11,27.88,24.33
Senegal,22.68,23.73,21.62
Sierra Leona,23.45,23.87,23.03
Singapur,22.19,22.8,21.58
Eslovaquia,25.34,25.85,24.83
Eslovenia,25.38,25.89,24.87
Islas Salomón,27.34,27.85,26.83
Somalia,20.48,20.99,19.97
Sudáfrica,24.96,24.95,24.97
Corea del Sur,24.06,25.34,22.78
Sri Lanka,20.51,21.44,19.57
San Vicente y las Granadinas,26.04,26.55,25.53
Sudán,21.97,22.48,21.46
Surinán,25.71,26.22,25.2
Suazilandia,23.39,23.9,22.88
Suecia,24.54,26.11,22.97
Suiza,24.94,25.47,24.4
Siria,25.0,25.51,24.49
Tayikistán,25.21,25.72,24.7
Tanzania,21.83,21.87,21.78
Tailandia,22.34,23.36,21.32
Togo,22.22,22.72,21.72
Tonga,32.9,32.03,33.77
Trinidad y Tobago,26.9,26.46,27.33
Túnez,23.86,24.63,23.08
Turquía,24.92,25.33,24.5
Turkmenistán,23.55,25.13,21.96
Uganda,21.53,21.03,22.02
Ucrania,23.34,24.84,21.84
Emiratos Árabes Unidos,26.66,27.6,25.71
Reino Unido,26.19,27.62,24.76
Estados Unidos,27.82,28.64,27.0
Uruguay,25.06,26.88,23.24
Uzbekistán,23.8,24.99,22.6
Vanuatu,25.53,26.46,24.6
Venezuela,26.19,27.52,24.86
Vietnam,19.96,21.18,18.73
Yemen,22.07,22.91,21.22
Zambia,21.02,21.02,21.01
Zimbabue,22.38,21.7,23.06
Zimbabue,22.38,21.7,23.06
